MES,Q,P,PCANAD,MXN_USD,PANDEMI,BARRIL_OPEP,PRECIO_GASOLINA_USA,VENTA_INTERNA_GASOLINA,OPEP,BRENT,WTI
2020-02,47.96024474,586.8732759,31.43,19.611,1,41.47,2.442,30574.87427,55.49,55.66,50.54
2020-03,28.34099251,761.5213871,9.39,23.714,1,41.47,2.234,23639.68642,33.91,32.01,29.21
2020-04,12.34596471,588.9707333,13.35,24.151,1,41.47,1.841,12283.35734,17.64,18.38,16.55
2020-05,22.51484235,870.5136774,27.03,22.1675,1,41.47,1.87,17390.53073,24.97,29.38,28.56
2020-06,34.49042909,715.3274,27.36,22.9889,1,41.47,2.082,21911.64785,37.05,40.27,38.31
2020-07,38.08842741,613.7282581,28.77,22.2714,1,41.47,2.183,25131.72357,43.42,43.24,40.71
2020-08,40.21526454,730.7593871,30.86,21.8785,1,41.47,2.182,24647.85081,44.97,44.74,42.34
2020-09,38.48718846,539.6412,27.83,22.099,1,41.47,2.183,23683.34783,41.54,40.91,39.63
2020-10,37.07716387,477.2411935,25.22,21.171,1,41.47,2.158,24346.3057,40.08,40.19,39.40
2020-11,39.26567846,623.5222333,33,20.166,1,41.47,2.108,21407.99203,42.61,42.69,40.94
2020-12,44.9744457,643.379129,33.2,19.871,1,41.47,2.195,25849.18745,49.17,49.99,47.02
2021-01,50.43390051,566.4861613,39.15,20.5855,1,69.89,2.334,23993.36113,54.38,54.77,52
2021-02,56.38827932,583.3120714,50.06,20.848,1,69.89,2.501,24622.38834,61.04,62.28,59.04
2021-03,59.4429476,478.8200645,48.92,20.422,1,69.89,2.81,35601.8394,64.57,65.41,62.33
2021-04,59.313602,561.3262333,51.92,20.226,1,69.89,2.858,31459.65873,63.25,64.81,61.72
2021-05,62.22527711,584.401871,51.71,19.9461,1,69.89,2.985,33886.03727,66.91,68.53,65.17
2021-06,67.30385628,694.1743,58.62,19.931,1,69.89,3.064,34290.80374,71.89,73.16,71.38
2021-07,68.54549283,710.213129,58.74,19.855,1,69.89,3.136,36493.17715,73.52,75.17,72.49
2021-08,63.7991988,551.0255806,56.23,20.063,1,69.89,3.158,34547.78221,70.33,70.75,67.73
2021-09,66.89883794,651.0893,62.91,20.63,1,69.89,3.175,33372.96207,73.89,74.49,71.65
2021-10,75.08233732,490.6317742,67,20.545,1,69.89,3.291,39073.5836,82.07,83.54,81.48
2021-11,75.0420713,568.3484,56.5,21.4368,1,69.89,3.395,41214.67813,80.34,81.05,79.15
2021-12,67.17774549,511.8717097,59.2,20.487,1,69.89,3.307,42894.59705,74.37,74.17,71.71
2022-01,75.81233736,611.2218065,73.04,20.625,1,100.08,3.315,38859.94371,85.40,86.51,83.22
2022-02,85.33578896,682.4851429,78.75,20.461,1,100.08,3.517,42156.96125,94.21,97.13,91.64
2022-03,100.4606623,649.8279677,94.71,19.845,1,100.08,4.222,55415.06336,113.61,117.25,108.50
2022-04,99.56440064,593.4473,90.14,20.411,1,100.08,4.109,54724.4293,105.52,104.58,101.78
2022-05,104.5822807,740.0095161,93.78,19.6525,1,100.08,4.444,57431.55498,113.94,113.34,109.55
2022-06,109.9190155,663.5809333,84.59,20.089,1,100.08,4.929,56659.84469,117.72,122.71,114.84
2022-07,96.46344492,684.1158065,76.12,20.35,1,100.08,4.559,57445.07314,108.60,111.93,101.62
2022-08,86.20031452,671.1146774,68.61,20.1348,1,100.08,3.975,54908.10696,101.90,100.45,93.67
2022-09,80.04387118,579.7055667,56.84,20.14,1,100.08,3.7,48284.03558,95.35,89.76,84.26
2022-10,79.78201344,650.8369355,57.44,19.794,1,100.08,3.815,52500.05783,93.57,93.33,87.55
2022-11,77.25818295,499.2132333,51.67,19.251,1,100.08,3.685,47023.68201,89.74,91.42,84.37
2022-12,67.61325296,626.882,56.43,19.474,1,100.08,3.21,40776.45647,79.72,80.92,76.44
2023-01,66.59140004,753.8380645,58.3,18.82,1,82.95,3.339,43719.07058,81.62,82.50,78.12
2023-02,66.14377204,650.6283214,61.48,18.301,1,82.95,3.389,39187.36683,81.86,82.59,76.83
2023-03,62.75243174,638.3629355,61.5,18.0099,1,82.95,3.422,42942.30136,78.45,78.43,73.28
2023-04,68.49239908,574.1889,62.29,17.98,1,82.95,3.603,40259.82626,84.36,84.64,79.45
2023-05,64.48922093,752.3679032,53.57,17.6819,1,82.95,3.555,39113.44371,75.81,75.47,71.58
2023-06,64.49549362,805.2173,58.31,17.1135,0,82.95,3.571,39229.63439,75.19,74.84,70.25
2023-07,70.52321229,809.4303226,66.42,16.728,0,82.95,3.597,41153.81726,81.06,80.11,76.07
2023-08,76.16149413,771.9196129,66.02,17.027,0,82.95,3.84,47086.75899,87.33,86.15,81.39
2023-09,83.45353022,770.5061,69.59,17.397,0,82.95,3.836,45134.11742,94.60,93.72,89.43
2023-10,81.72734264,756.6171935,56.73,18.037,0,82.95,3.613,40655.06489,91.85,90.60,85.64
2023-11,73.57391388,630.6465333,715.39,17.3784,0,82.95,3.318,35584.95492,84.92,82.94,77.69
2023-12,68.00238867,710.5296129,53.62,16.954,0,82.95,3.134,36321.79951,79.02,77.63,71.90
2024-01,68.79517916,501.6660645,59.82,17.212,0,81.98,3.075,34995.66837,80.04,80.12,74.15
2024-02,71.33351531,612.4714483,62.84,17.049,0,81.98,3.212,36816.62184,81.22,83.48,77.25
2024-03,74.30928143,403.0606129,70.85,16.531,0,81.98,3.426,41429.11866,84.13,85.41,81.28
2024-04,77.06335099,483.9873,70.51,17.1355,0,81.98,3.611,41209.63548,89.57,90.84,86.21
